City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Banswara,IN,80.42,overcast clouds,23.55,74.45,Hotel Relax Inn
492,Umm Lajj,SA,84.85,clear sky,25.0213,37.2685,Moon light Furnished Units
499,Ternate,ID,80.2,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
503,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
507,Oussouye,SN,82.49,broken clouds,12.485,-16.5469,Auberge du Routard
508,Bella Vista,US,85.51,few clouds,36.4295,-94.2316,The Inn at Bella Vista
510,Mbini,GQ,76.12,light rain,1.574,9.6134,
512,Barra Do Garcas,BR,85.03,few clouds,-15.89,-52.2567,Pousada Tropical
516,Diffa,NE,82.65,broken clouds,13.3154,12.6113,ProDAF/Diffa
518,Labuhan,ID,77.0,broken clouds,-6.8844,112.2051,DoubleFAG
520,Manaure,CO,84.76,overcast clouds,11.7751,-72.4445,Hotel Palaaima
522,Adilabad,IN,77.16,moderate rain,19.6667,78.5333,Dwaraka Hotel.
525,Dingle,PH,78.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
527,Nechi,CO,77.43,broken clouds,8.0942,-74.7757,Ivan Villadiego guerra
529,Veraval,IN,80.6,overcast clouds,20.9,70.3667,Lords Inn Somnath
531,Vila Franca Do Campo,PT,78.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
532,Thai Binh,VN,76.55,moderate rain,20.45,106.3333,Sweden Hotel
536,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
540,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
541,Dhadar,IN,86.68,scattered clouds,28.3305,75.0632,ढाढर
542,Santa Helena De Goias,BR,85.57,broken clouds,-17.8136,-50.5969,Castro Castle Hotel
544,Samana,DO,84.16,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
545,Tambopata,PE,87.69,clear sky,-12.7333,-69.1833,Enashawa Lodge
547,Saint Anthony,US,88.77,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
549,Yorkton,CA,82.24,clear sky,51.2167,-102.4677,Redwood Motel
552,Manicore,BR,88.52,overcast clouds,-5.8092,-61.3003,Hotel Durval
554,Kroya,ID,76.32,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
555,Tautira,PF,76.69,light rain,-17.7333,-149.15,Pension Oaoa
556,Hambantota,LK,78.22,overcast clouds,6.1241,81.1185,Bungalow 63
557,Amahai,ID,78.24,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
565,Isabela,PH,75.25,overcast clouds,6.7085,121.9711,Isawad Resort
567,Dryden,CA,77.29,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
578,Ransang,PH,79.43,scattered clouds,8.9603,117.5828,Black and Crystal Sand Campsite
579,Sosua,DO,85.91,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
592,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Hotel Gaudi
594,Sinnamary,GF,79.02,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
595,Itarema,BR,77.92,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
602,Amagasaki,JP,78.82,broken clouds,34.7167,135.4167,Miyako Hotel Amagasaki
605,Marsh Harbour,BS,84.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
609,Kihei,US,89.62,few clouds,20.785,-156.4656,Maui Sunset
610,Lipari,IT,78.21,clear sky,38.4674,14.954,Hotel Villa Augustus
611,Mulege,MX,76.57,overcast clouds,26.8833,-111.9833,Casa Granada
612,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
620,High Rock,BS,87.82,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
626,Sharqpur,PK,84.33,clear sky,31.4633,74.1,Salim's Dental Clinic..Dr.Awais
631,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
633,Shihezi,CN,77.38,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
634,Urucara,BR,87.19,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
635,Sattahip,TH,80.98,light rain,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
638,North Bend,US,79.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
643,Locri,IT,77.32,clear sky,38.2414,16.2623,Grand Hotel President
644,Cairns,AU,79.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
645,Saint-Jerome,CA,78.22,few clouds,45.7804,-74.0036,Comfort Inn & Suites
646,Kulhudhuffushi,MV,80.65,overcast clouds,6.6221,73.07,Haajy Guest House 1
647,Baker City,US,85.19,clear sky,44.7749,-117.8344,Bridge Street Inn
648,Santa Marta,CO,78.85,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
651,Apartado,CO,80.46,broken clouds,7.883,-76.6259,Hotel Towers100 Apartaestudios
652,Lethem,GY,79.18,light rain,3.3803,-59.7968,Savannah Inn
654,Benghazi,LY,78.26,clear sky,32.1167,20.0667,Tibesti Hotel
657,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
659,Dawlatabad,AF,75.47,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
668,Sur,OM,79.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
669,Kota Belud,MY,77.25,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
670,Bam,IR,81.01,clear sky,29.106,58.357,Bam Tourist Hotel
671,Orocue,CO,78.33,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
672,Nioaque,BR,82.11,clear sky,-21.1353,-55.83,Nioaque Novo Hotel
680,Urucui,BR,82.2,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
688,Biak,ID,76.1,overcast clouds,-0.9131,122.8766,Penginapan Kim
694,Bryan,US,83.7,scattered clouds,30.6744,-96.37,Best Western Premier Bryan College Station
